Pipeline,Type,Jar,Path,core_tokenizer,pos_tagger,chunker,dependency_parser,constituency_parser,fast_dictionary,classic_dictionary,drug_ner,ne_contexts,assertion,relation_extractor,coreference,temporal,template_filler,smoking_status,side_effect,context_tokenizer,preprocessor,writers
DefaultCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/DefaultCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DefaultRelationCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/DefaultRelationCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DefaultRelationPipeline.piper,full,ctakes-relation-extractor-6.0.0.jar,org/apache/ctakes/relation/extractor/pipeline/DefaultRelationPipeline.piper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DefaultRelationTemporalPipeline.piper,full,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/DefaultRelationTemporalPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DefaultTemporalPipeline.piper,full,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/DefaultTemporalPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SectionedAdvancedPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/SectionedAdvancedPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SectionedCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/SectionedCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SectionedRelationCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/SectionedRelationCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SectionedRelationPipeline.piper,full,ctakes-relation-extractor-6.0.0.jar,org/apache/ctakes/relation/extractor/pipeline/SectionedRelationPipeline.piper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SectionedRelationTemporalPipeline.piper,full,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/SectionedRelationTemporalPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SectionedTemporalCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/SectionedTemporalCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SectionedTemporalPipeline.piper,full,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/SectionedTemporalPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TsDefaultAdvancedPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/TsDefaultAdvancedPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TsDefaultCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/TsDefaultCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TsDefaultRelationCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/TsDefaultRelationCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TsDefaultRelationPipeline.piper,full,ctakes-relation-extractor-6.0.0.jar,org/apache/ctakes/relation/extractor/pipeline/TsDefaultRelationPipeline.piper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TsDefaultRelationTemporalPipeline.piper,full,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/TsDefaultRelationTemporalPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TsDefaultTemporalPipeline.piper,full,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/TsDefaultTemporalPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TsSectionedAdvancedPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/TsSectionedAdvancedPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TsSectionedCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/TsSectionedCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TsSectionedRelationCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/TsSectionedRelationCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TsSectionedRelationPipeline.piper,full,ctakes-relation-extractor-6.0.0.jar,org/apache/ctakes/relation/extractor/pipeline/TsSectionedRelationPipeline.piper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TsSectionedRelationTemporalPipeline.piper,full,ctakes-temporal-6.0.0.jar,org/apache/ctakes/temporal/pipeline/TsSectionedRelationTemporalPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
